status	axis	repo	path	files	bytes	note
OK	schema	mettle/sendportal	research/repos/schema/mettle__sendportal	181	1012K	
OK	schema	monicahq/monica	research/repos/schema/monicahq__monica	2093	25552K	
OK	schema	notrinos/NotrinosERP	research/repos/schema/notrinos__NotrinosERP	1419	25676K	
OK	schema	phpList/phplist3	research/repos/schema/phpList__phplist3	995	33112K	
OK	schema	point8/pipetools	research/repos/schema/point8__pipetools	5	156K	
OK	schema	pypesdev/coldflow	research/repos/schema/pypesdev__coldflow	358	8020K	
OK	schema	raosiddharthp/The-Autonomous-Quote-to-Cash	research/repos/schema/raosiddharthp__The-Autonomous-Quote-to-Cash	13	2248K	
OK	schema	ringcentral/rc-unified-crm-extension	research/repos/schema/ringcentral__rc-unified-crm-extension	834	45076K	
OK	schema	rxcod9/joy-voyager-crm	research/repos/schema/rxcod9__joy-voyager-crm	2071	11160K	
OK	schema	SuiteCRM/SuiteCRM	research/repos/schema/SuiteCRM__SuiteCRM	9542	107148K	
OK	schema	swayamhirani/Revenue-Operations-Analytics-Platform	research/repos/schema/swayamhirani__Revenue-Operations-Analytics-Platform	52	1660K	
SKIP	schema	twentyhq/twenty	research/repos/schema/twentyhq__twenty	3801	34412K	already present
OK	schema	venturedrake/laravel-crm	research/repos/schema/venturedrake__laravel-crm	1987	29036K	
OK	schema	vitorfs/colossus	research/repos/schema/vitorfs__colossus	1704	121872K	
OK	schema	vonarmen-wq/forward-deployed-selling	research/repos/schema/vonarmen-wq__forward-deployed-selling	33	3716K	
OK	schema	Webmecanik/mautic-pipedrive-bundle	research/repos/schema/Webmecanik__mautic-pipedrive-bundle	52	564K	
OK	schema	WuKongOpenSource/WukongCRM-11.0-JAVA	research/repos/schema/WuKongOpenSource__WukongCRM-11.0-JAVA	3208	130388K	
OK	schema	YetiForceCompany/YetiForceCRM	research/repos/schema/YetiForceCompany__YetiForceCRM	5224	67736K	
OK	workflow	0x01369/Pipedrive-Api	research/repos/workflow/0x01369__Pipedrive-Api	23	236K	
OK	workflow	7wyk/QuoteForge---Product-Configuration-Pricing-System-Mini-CPQ-Platform--MERN-Web-App	research/repos/workflow/7wyk__QuoteForge---Product-Configuration-Pricing-System-Mini-CPQ-Platform--MERN-Web-App	53	716K	
OK	workflow	A79-ai/gtm-agentic-chat	research/repos/workflow/A79-ai__gtm-agentic-chat	171	17548K	
OK	workflow	aaronhayes/react-use-hubspot-form	research/repos/workflow/aaronhayes__react-use-hubspot-form	21	564K	
OK	workflow	Aastha953/AI-Powered-Revenue-Operations-Analytics-Dashboard	research/repos/workflow/Aastha953__AI-Powered-Revenue-Operations-Analytics-Dashboard	13	3704K	
OK	workflow	abhinawkumarram/sales-forecasting-python	research/repos/workflow/abhinawkumarram__sales-forecasting-python	0	80K	
OK	workflow	abhiram0709/Cold-Mail-Automation-Using-N8N-With-Brevo-CRM	research/repos/workflow/abhiram0709__Cold-Mail-Automation-Using-N8N-With-Brevo-CRM	7	6348K	
OK	workflow	abskpurty/Sales-Forecasting-Python-	research/repos/workflow/abskpurty__Sales-Forecasting-Python-	2	16092K	
OK	workflow	acharkizakaria/haraka-plugin-accounting-files	research/repos/workflow/acharkizakaria__haraka-plugin-accounting-files	9	192K	
OK	workflow	AdityaKaleeswarGK/sales_agent_langgraph	research/repos/workflow/AdityaKaleeswarGK__sales_agent_langgraph	23	7148K	
OK	workflow	AIDevGTM/gtm-cofounder	research/repos/workflow/AIDevGTM__gtm-cofounder	28	420K	
OK	workflow	Alex-Roggero/first-line	research/repos/workflow/Alex-Roggero__first-line	3	268K	
OK	workflow	alexkwitko/Salesforce-Agentforce	research/repos/workflow/alexkwitko__Salesforce-Agentforce	7504	61756K	
OK	workflow	Aliciawyse/testApp	research/repos/workflow/Aliciawyse__testApp	14	264K	
OK	workflow	ananas-agency/B2B-GTM-Suite	research/repos/workflow/ananas-agency__B2B-GTM-Suite	32	1152K	
OK	workflow	andersmyrmel/cold-cli	research/repos/workflow/andersmyrmel__cold-cli	69	1384K	
OK	workflow	Ankit-saha-iiitbbsr/virtual-sales-agent-langgraph	research/repos/workflow/Ankit-saha-iiitbbsr__virtual-sales-agent-langgraph	37	4724K	
OK	workflow	ankit893/Revops-Analytics-Dashboard	research/repos/workflow/ankit893__Revops-Analytics-Dashboard	4	45896K	
OK	workflow	Anonym0usWork1221/GMapsScraper	research/repos/workflow/Anonym0usWork1221__GMapsScraper	17	7748K	
OK	workflow	Anshchordiya2002/Sales_Agent_LangGraph	research/repos/workflow/Anshchordiya2002__Sales_Agent_LangGraph	4	168K	
OK	workflow	anshwysmcbel2710/ai-outreach-automation-platform	research/repos/workflow/anshwysmcbel2710__ai-outreach-automation-platform	37	3192K	
OK	workflow	api-evangelist/cacheflow	research/repos/workflow/api-evangelist__cacheflow	29	596K	
OK	workflow	api-evangelist/logikio	research/repos/workflow/api-evangelist__logikio	65	1276K	
OK	workflow	apoorva792/Hubspot-Agent	research/repos/workflow/apoorva792__Hubspot-Agent	17	248K	
OK	workflow	ariyantoa291/revops-skills	research/repos/workflow/ariyantoa291__revops-skills	25	1468K	
OK	workflow	armahajan24/Salesforce-Agentforce-Data-Cloud-Learning-Project	research/repos/workflow/armahajan24__Salesforce-Agentforce-Data-Cloud-Learning-Project	92	624K	
OK	workflow	asiifdev/business-leads-ai-automation	research/repos/workflow/asiifdev__business-leads-ai-automation	200	4360K	
OK	workflow	audoxcl/Power-BI-Pipedrive-Connector	research/repos/workflow/audoxcl__Power-BI-Pipedrive-Connector	4	184K	
OK	workflow	avayabaniya/job-cd	research/repos/workflow/avayabaniya__job-cd	29	332K	
OK	workflow	AvinashBunga/walmart-sales-forecast	research/repos/workflow/AvinashBunga__walmart-sales-forecast	10	700K	
OK	workflow	Awaisali36/50k-lead-generation-system	research/repos/workflow/Awaisali36__50k-lead-generation-system	17	5908K	
OK	workflow	Awaisali36/Outbound-Real-State-Voice-AI-Agent-	research/repos/workflow/Awaisali36__Outbound-Real-State-Voice-AI-Agent-	11	1228K	
OK	workflow	batra-kapil/salesforce-agentforce	research/repos/workflow/batra-kapil__salesforce-agentforce	138	1156K	
OK	workflow	Beingwizard/Salesforce-Agentforce-Workshop	research/repos/workflow/Beingwizard__Salesforce-Agentforce-Workshop	1	132K	
OK	workflow	belong-inc/go-hubspot	research/repos/workflow/belong-inc__go-hubspot	69	856K	
OK	workflow	BismaNwaz/lead-enrichment-api	research/repos/workflow/BismaNwaz__lead-enrichment-api	10	164K	
OK	workflow	bitsandbrainsai/neurooutreach-ai-intelligence-orchestration-platform	research/repos/workflow/bitsandbrainsai__neurooutreach-ai-intelligence-orchestration-platform	37	3872K	
OK	workflow	Bottelet/DaybydayCRM	research/repos/workflow/Bottelet__DaybydayCRM	935	20528K	
SKIP	workflow	BraaMohammed/bricks	research/repos/workflow/BraaMohammed__bricks	214	4416K	already present
OK	workflow	braedonsaunders/trawl	research/repos/workflow/braedonsaunders__trawl	126	5196K	
OK	workflow	brazilianx/Salesloft-API-Call	research/repos/workflow/brazilianx__Salesloft-API-Call	0	80K	
OK	workflow	cameronking4/ReplyGuy-clone	research/repos/workflow/cameronking4__ReplyGuy-clone	378	71924K	
OK	workflow	carladamso1luc-rgb/apolloscraperHck	research/repos/workflow/carladamso1luc-rgb__apolloscraperHck	2	136K	
OK	workflow	catin-black/meteor-emails	research/repos/workflow/catin-black__meteor-emails	219	1732K	
OK	workflow	ChandanRatharvaCloud/flight-Analytics-datahub	research/repos/workflow/ChandanRatharvaCloud__flight-Analytics-datahub	66	416K	
OK	workflow	chapter-gtm/chapter	research/repos/workflow/chapter-gtm__chapter	393	3724K	
OK	workflow	chefroger/smart-trade-ai	research/repos/workflow/chefroger__smart-trade-ai	443	5796K	
OK	workflow	chrisbcallahan/SalesLoft-RESTful-Web-Services	research/repos/workflow/chrisbcallahan__SalesLoft-RESTful-Web-Services	37	412K	
OK	workflow	citizenjosh/customer-success-skills	research/repos/workflow/citizenjosh__customer-success-skills	73	788K	
OK	workflow	Clay-Bootcamp/gtme-goldmine	research/repos/workflow/Clay-Bootcamp__gtme-goldmine	57	10740K	
OK	workflow	cmn-labs/autogtm	research/repos/workflow/cmn-labs__autogtm	128	1896K	
OK	workflow	codiebyheaart/sales-lead-scraper-tool	research/repos/workflow/codiebyheaart__sales-lead-scraper-tool	45	512K	
OK	workflow	concaption/cold-md	research/repos/workflow/concaption__cold-md	64	23236K	
OK	workflow	CosmoBlk/email-marketing-bible	research/repos/workflow/CosmoBlk__email-marketing-bible	4	196K	
OK	workflow	darryldAnalyst/WalmartStoreSalesForecasting	research/repos/workflow/darryldAnalyst__WalmartStoreSalesForecasting	8	47076K	
OK	workflow	davec82/freeswitch-outboundsocket	research/repos/workflow/davec82__freeswitch-outboundsocket	22	288K	
OK	workflow	deejay-hub/salesforce-ada-agent-skills	research/repos/workflow/deejay-hub__salesforce-ada-agent-skills	33	676K	
OK	workflow	deep-div/cold-email-automation	research/repos/workflow/deep-div__cold-email-automation	43	3852K	
OK	workflow	dev-asadhameed/Salesloft-API-Integration	research/repos/workflow/dev-asadhameed__Salesloft-API-Integration	65	360K	
OK	workflow	DidelotK/agent-hubspot	research/repos/workflow/DidelotK__agent-hubspot	22	692K	
OK	workflow	DiegoVictor/pipedeals	research/repos/workflow/DiegoVictor__pipedeals	75	1276K	
OK	workflow	divypanchori26/sales-forecasting-python	research/repos/workflow/divypanchori26__sales-forecasting-python	1	132K	
OK	workflow	domsteil/aptbots	research/repos/workflow/domsteil__aptbots	4923	38744K	
OK	workflow	Doris-Labs/sales-skills	research/repos/workflow/Doris-Labs__sales-skills	43	748K	
OK	workflow	dvotsis-data/Sales-Forecasting-Python	research/repos/workflow/dvotsis-data__Sales-Forecasting-Python	5	3256K	
OK	workflow	Eambrosin/outreach-sequence-generator	research/repos/workflow/Eambrosin__outreach-sequence-generator	6	188K	
OK	workflow	eeshsaxena/outreach-emails	research/repos/workflow/eeshsaxena__outreach-emails	685	14684K	
OK	workflow	ekohe/zoominfo-js-client	research/repos/workflow/ekohe__zoominfo-js-client	14	188K	
OK	workflow	eliasstravik/gtmskills	research/repos/workflow/eliasstravik__gtmskills	525	5296K	
